filename,language,character_count
211000335_ref1.txt,en,201
211000343_ref1.txt,en,64595
211000346_ref1.txt,en,2349
211000347_ref1.txt,en,2655
211000351_ref1.txt,ja,22827
211000354_ref1.txt,TOO_SHORT,11
211000355_ref1.txt,de,18949
211000358_ref1.txt,en,182057
211000359_ref1.txt,en,2256
211000361_ref1.txt,en,1305
211000362_ref1.txt,en,5327
211000363_ref1.txt,en,51383
211000365_ref1.txt,it,3498
211000369_ref1.txt,en,6288
211000370_ref1.txt,en,1111
211000371_ref1.txt,en,32730
211000372_ref1.txt,en,882509
211000373_ref1.txt,en,358
211000374_ref1.txt,en,1428
211000375_ref1.txt,en,42596
211000376_ref1.txt,en,2974
211000377_ref1.txt,en,71541
211000378_ref1.txt,en,1687
211000379_ref1.txt,en,1687
211000380_ref1.txt,en,2894
211000382_ref1.txt,en,11112
211000385_ref1.txt,en,2804
211000389_ref1.txt,it,563
211000390_ref1.txt,TOO_SHORT,25
211000391_ref1.txt,en,8800
211000392_ref1.txt,en,3490
211000393_ref1.txt,en,2145
211000395_ref1.txt,en,1448
211000396_ref1.txt,en,1992
211000400_ref1.txt,en,3949
211000400_ref2.txt,en,3439
211000401_ref1.txt,en,4307
211000402_ref1.txt,en,6354
211000404_ref1.txt,en,3284
211000406_ref1.txt,en,2145
211000407_ref1.txt,en,676759
211000408_ref1.txt,en,675660
211000410_ref1.txt,en,6781
211000412_ref1.txt,en,1872
211000416_ref2.txt,en,20312
211000416_ref3.txt,en,35774
211000416_ref4.txt,en,6730
211000417_ref1.txt,en,2986
211000418_ref1.txt,en,39031
211000419_ref1.txt,es,402742
211000420_ref1.txt,en,1567
211000423_ref1.txt,en,1545
211000424_ref1.txt,en,98838
211000425_ref1.txt,en,5883
211000432_ref1.txt,en,1219951
211000432_ref2.txt,en,4127
211000433_ref1.txt,en,5218
211000434_ref1.txt,en,1965
211000435_ref1.txt,en,1572
211000436_ref1.txt,en,2140
211000437_ref1.txt,en,3116
211000440_ref1.txt,en,510479
211000441_ref1.txt,en,3743
211000442_ref1.txt,en,84723
211000444_ref1.txt,en,34655
211000449_ref1.txt,en,1573
211000451_ref1.txt,en,3181
211000453_ref1.txt,en,7009
211000455_ref1.txt,en,10396
211000460_ref1.txt,en,1628
211000461_ref1.txt,en,117047
211000462_ref1.txt,en,2187
211000463_ref1.txt,en,676759
211000465_ref1.txt,en,3344
211000468_ref1.txt,pt,3152
211000469_ref1.txt,en,11558
211000470_ref1.txt,en,1301
211000472_ref1.txt,en,10506
211000474_ref1.txt,en,943637
211000475_ref1.txt,en,2310
211000478_ref1.txt,en,982
211000479_ref1.txt,en,885
211000480_ref1.txt,en,73798
211000481_ref1.txt,de,19784
211000482_ref1.txt,en,5493
211000486_ref1.txt,en,2028
211000487_ref1.txt,en,2145
211000489_ref1.txt,en,5967
211000490_ref1.txt,en,523
211000491_ref1.txt,en,8487
211000491_ref2.txt,en,16763
211000491_ref3.txt,en,8060
211000492_ref1.txt,en,26678
