policy_id,ref_num,url,error,file_type,expected_filename
211000061,2,http://www.world-nuclear-news.org/NP-Plan-sets-out-Japans-energy-mix-for-2030-0306154.html,404 Client Error: Not Found for url: https://www.world-nuclear-news.org/NP-Plan-sets-out-Japans-energy-mix-for-2030-0306154.html,,211000061_ref2
211000063,1,https://www.iea.org/policies/7761-50001-ready?country=United%20States&qs=united,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/7761-50001-ready?country=United%20States&qs=united,,211000063_ref1
211000068,1,http://www.bilgitoplumu.gov.tr/wp-content/uploads/2014/04/EightFive_Year_Development_Plan_2001-2005.pdf,"HTTPConnectionPool(host='www.bilgitoplumu.gov.tr', port=80): Max retries exceeded with url: /wp-content/uploads/2014/04/EightFive_Year_Development_Plan_2001-2005.pdf (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000232EFD27350>, 'Connection to www.bilgitoplumu.gov.tr timed out. (connect timeout=30)'))",,211000068_ref1
211000069,1,https://www.my.gov.sa/wps/portal/snp/aboutksa/nationalDevelopmentPlans/download/The%209th%20Development%20Plan%20311432%20to%20351436H/!ut/p/z0/fYxLCsIwFACvkgvIy68F11VThJj6AWs2kkVsgvElSOj5zQnczcAwYGEGi26Ni6sxo0vNH7Z_ntiejkwyYy4HTs-aKibNJNTQwdUjHMH-j9qFf_WgF7DF1bCJ-Mow34In2xrIzq8-5fLxWMmUHBLBmBSc1ExE16gfobzV_QezgVeu/,"HTTPSConnectionPool(host='www.my.gov.sa', port=443): Max retries exceeded with url: /wps/portal/snp/aboutksa/nationalDevelopmentPlans/download/The%209th%20Development%20Plan%20311432%20to%20351436H/!ut/p/z0/fYxLCsIwFACvkgvIy68F11VThJj6AWs2kkVsgvElSOj5zQnczcAwYGEGi26Ni6sxo0vNH7Z_ntiejkwyYy4HTs-aKibNJNTQwdUjHMH-j9qFf_WgF7DF1bCJ-Mow34In2xrIzq8-5fLxWMmUHBLBmBSc1ExE16gfobzV_QezgVeu/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000232EF7D9A10>, 'Connection to www.my.gov.sa timed out. (connect timeout=30)'))",,211000069_ref1
211000076,1,http://www.energy2030.org/roadmap,404 Client Error: Not Found for url: http://www.energy2030.org/roadmap,,211000076_ref1
211000077,1,https://www.iea.org/policies/928-income-tax-act-accelerated-capital-cost-allowance?country=Canada&page=8&qs=germany,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/928-income-tax-act-accelerated-capital-cost-allowance?country=Canada&page=8&qs=germany,,211000077_ref1
211000079,1,https://www.iea.org/policies/1074-accelerated-recovery-period-for-depreciation-of-smart-meters-and-smart-grid-systems?country=United%20States&page=6&qs=germany,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/1074-accelerated-recovery-period-for-depreciation-of-smart-meters-and-smart-grid-systems?country=United%20States&page=6&qs=germany,,211000079_ref1
211000083,1,http://www.meti.go.jp,"HTTPConnectionPool(host='www.meti.go.jp', port=80): Read timed out. (read timeout=30)",,211000083_ref1
211000097,1,http://unfccc.int/files/national_reports/biennial_reports_and_iar/submitted_biennial_reports/application/pdf/japan_br2.pdf,503 Server Error: Service Unavailable for url: http://unfccc.int/files/national_reports/biennial_reports_and_iar/submitted_biennial_reports/application/pdf/japan_br2.pdf,,211000097_ref1
211000101,1,https://www.iea.org/policies/6521-act-on-the-further-development-of-the-electricity-market?country=Germany&qs=ger,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/6521-act-on-the-further-development-of-the-electricity-market?country=Germany&qs=ger,,211000101_ref1
