policy_id,reference_column,ref_number,url,error,country,policy_title,error_category
211003519,reference,1,https://www.iea.org/policies/5024-building-renovation-program-das-gebaudeprogramm-le-programme-batiments?country=Switzerland&qs=switzerl,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/5024-building-renovation-program-das-gebaudeprogramm-le-programme-batiments?country=Switzerland&qs=switzerl,Switzerland,Building Renovation Programme Switzerland (2010),502_Bad_Gateway
211003812,reference,1,https://www.kmu.gov.ua/en/news/250210653,"HTTPSConnectionPool(host='www.kmu.gov.ua', port=443): Max retries exceeded with url: /en/news/250210653 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000232F02C50D0>, 'Connection to www.kmu.gov.ua timed out. (connect timeout=30)'))",Ukraine,"Energy Strategy to 2030, approved by Decree Reference No. 1071-p Ukraine (2013)",502_Bad_Gateway
240306377,reference,1,https://www.blw.admin.ch/dam/blw/de/dokumente/Nachhaltige%20Produktion/Umwelt/Klima_neue/klimastrategie_teil1.pdf.download.pdf/KSLE_2050_Teil_1_D.pdf,502 Server Error: Bad Gateway for url: https://www.blw.admin.ch/dam/blw/de/dokumente/Nachhaltige%20Produktion/Umwelt/Klima_neue/klimastrategie_teil1.pdf.download.pdf/KSLE_2050_Teil_1_D.pdf,Switzerland,Climate Strategy Agriculture and Food 2050 Switzerland (2023),502_Bad_Gateway
240306377,reference2,2,https://www.blw.admin.ch/dam/blw/de/dokumente/Nachhaltige%20Produktion/Umwelt/Klima_neue/klimastrategie_teil2.pdf.download.pdf/KSLE_2050_Teil2_D.pdf,502 Server Error: Bad Gateway for url: https://www.blw.admin.ch/dam/blw/de/dokumente/Nachhaltige%20Produktion/Umwelt/Klima_neue/klimastrategie_teil2.pdf.download.pdf/KSLE_2050_Teil2_D.pdf,Switzerland,Climate Strategy Agriculture and Food 2050 Switzerland (2023),502_Bad_Gateway
