policy_id,reference_column,ref_number,url,error,country,policy_title,error_category
211000063,reference,1,https://www.iea.org/policies/7761-50001-ready?country=United%20States&qs=united,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/7761-50001-ready?country=United%20States&qs=united,United States of America,50001 Ready Program United States of America (2017),500_Server_Error
211003520,reference,1,https://www.iea.org/policies/1500-flanders-building-renovation?country=Belgium&page=2&qs=belgiu,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/1500-flanders-building-renovation?country=Belgium&page=2&qs=belgiu,Belgium,Building Renovations (Flanders) Belgium (2007),500_Server_Error
211003699,reference,1,https://www.st.gov.my/en/details/policies_details/13/2,500 Server Error: Internal Server Error for url: https://www.st.gov.my/en/details/policies_details/13/2,Malaysia,Efficient Management of Electrical Energy Regulations Malaysia (2008),500_Server_Error
211003747,reference,1,http://www.energycom.gov.gh/files/ACT.pdf,500 Server Error: Internal Server Error for url: http://www.energycom.gov.gh/files/ACT.pdf,Ghana,Energy Commission Act Ghana (1997),500_Server_Error
211004796,reference,1,http://energycom.gov.gh/files/RENEWABLE%20ENERGY%20ACT%202011%20(ACT%20832).pdf,500 Server Error: Internal Server Error for url: http://energycom.gov.gh/files/RENEWABLE%20ENERGY%20ACT%202011%20(ACT%20832).pdf,Ghana,Renewable Energy Act Ghana (2011),500_Server_Error
211004951,reference,1,http://energycom.gov.gh/files/snep/MAIN%20REPORT%20final%20PD.pdf,500 Server Error: Internal Server Error for url: http://energycom.gov.gh/files/snep/MAIN%20REPORT%20final%20PD.pdf,Ghana,Strategic National Energy Plan (SNEP) 2006-2020 Ghana (2006),500_Server_Error
211005091,reference,1,https://www.moccae.gov.ae/assets/644fa89a/state-of-green-economy-report-2016_summary_a5_for-website.aspx,500 Server Error: Internal Server Error for url: https://www.moccae.gov.ae/assets/644fa89a/state-of-green-economy-report-2016_summary_a5_for-website.aspx,United Arab Emirates,Green Agenda 2015-2030 United Arab Emirates (2015),500_Server_Error
